camarapk,nome,UFNasc,UFAtuacao,codinomes,partidos,profissoes,cargos,legislaturas,foto,veja,politicosorg,wiki,curriculo,votocunha,urls,outros
193066,Wilson Silva Beserra,RJ,,,,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=193066,
193069,Nelson Nahim Matheus de Oliveira,RJ,,,PSD,,,55,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=193069,
193089,Zacarias Vilharba,SP,,Vilalba,"PRB,PP",,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193089&tipo=0,
193090,Ronaldo Nogueira de Oliveira,RS,,Ronaldo Nogueira,PTB,Administrador de Empresas,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193090&tipo=0,
193102,Fernando Antônio Ceciliano Jordão,RJ,,Fernando Jordão,"PDT,PMDB","Empresário, Engenheiro Elétrico e Comerciante",,54.55,,,,,,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193102&tipo=0,
193109,Stefano Aguiar Dos Santos,MG,,Stefano Aguiar,PSD,Administrador de Empresas,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193109&tipo=0,
193110,Waldir Soares de Oliveira,PR,,Delegado Waldir,PR,Delegado,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193110&tipo=0,
193113,Carmen Emília Bonfá Zanotto,SC,,Carmen Zanotto,"PDT,PPS",Enfermeira,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193113&tipo=0,
193117,Marina Pignataro Sant'Anna,SP,,Marina Santanna,PT,,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193117&tipo=0,
193165,Atila Alexandre Nunes Pereira,RJ,,,PSL,,,,,,,,"Arquivo 7, p. 4",,http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=193165,
193239,Gean Marques Loureiro,SC,,Gean Loureiro,PMDB,Advogado e Administrador,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193239&tipo=0,
193252,Carlos Roberto de Campos,SP,,Carlos Roberto,"PMDB,PSDB,PFL",Industrial,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193252&tipo=0,
193282,Francisco Evangelista Dos Santos de Araújo,MA,,Francisco Araújo,"PTN,PSL,PSD","Escriturário, Delegado de Polícia, Escrivão Criminal e Garimpeiro",,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193282&tipo=0,
193415,Magda Mofatto Hon,SP,,Magda Mofatto,PR,Empresária,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193415&tipo=0,
