"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"160289","Francineto Luz de Aguiar","Itainópolis, PI","FRANK AGUIAR - PTB/SP","PSDB, 1992-2005; PTB, 2005-.","Bacharel em Direito, Empresário, Músico, Cantor e Compositor","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160289&tipo=0"
"195392","José Pinto de Luna","CE","Pinto De Luna","PT","Advogado e Delegado de Polícia Federal","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195392&tipo=0"
"97438","Giovanni Corrêa Queiroz","MG","Giovanni Queiroz","PDT,ARENA","Agropecuarista e Médico","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97438&tipo=0"
"97828","José Teles de Mendonça","Itabaiana, SE","JOSÉ TELES - PSDB/SE","ARENA, 1973-1979; PDS, 1980-1993; PPR, 1993-1995; PPB, 1995-1999; PSDB, 1999-.","Agropecuarista e Empresário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97828&tipo=0"
"97995","Maria Elvira Salles Ferreira","Belo Horizonte, MG","MARIA ELVIRA - PMDB/MG","PMDB, 1985-.","Jornalista, Professora Universitária, Empresária e Relações Públicas","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97995&tipo=0"
"195391","Ocimar Donizeti Leo Oliveira","SP","Léo Oliveira","PMDB","","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195391&tipo=0"
"99610","Sérgio Siqueira de Carvalho","Paranavaí, PR","SÉRGIO CARVALHO - PSDB/RO","PMDB, 1986-1997; PSDB, 1997-2003.","Médico","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99610&tipo=0"
"160286","Joaquim Beltrão Siqueira","AL","Joaquim Beltrão","PMDB","Agricultor e Engenheiro Eletricista","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160286&tipo=0"
"97431","Gerson Dos Santos Peres","Cametá, PA","GERSON PERES - PP/PA","PTB, 1950-1958; UDN, 1958-1963; ARENA, 1967-1979; PDS, 1983-1992; PPR, 1993-1995; PPB, 1995-1998; PP, 1998-.","Advogado, Jornalista e Educador","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97431&tipo=0"
"98765","Ronaldo Cezar Coelho","Rio de Janeiro, RJ","RONALDO CEZAR COELHO - PSDB/RJ","PMDB, 1985-1988; PSDB, 1988-.","Servidor Público Legislativo","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98765&tipo=0"
"184251","Antonio Carlos Ramos","Porto Real do Colegio, AL","ANTONIO CARLOS CHAMARIZ - PTB/AL","PSC, 2000-2002; PRONA, 2002-2006; PTB, 2006-.","Comerciante","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=184251&tipo=0"
