camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
102123		Roberto França Auad	Roberto França		MT		ARENA,PMDB,PTB,PSDB	Radialista								http://www.camara.gov.br/internet/deputado/bandep/73649.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102123&tipo=0	
102158		Manoel Antonio Rodrigues Palma	Rodrigues Palma		MT		ARENA,PP,PMDB,PTB	Professor e Bacharel em Direito								http://www.camara.gov.br/internet/deputado/bandep/73650.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102158&tipo=0	
100813		Rogério Lúcio Soares da Silva	Rogério Silva		MG		PRN,PPR,PPB,PFL,PMDB,PPS,PP	Agricultor e Empresário		52,53						http://www.camara.gov.br/internet/deputado/bandep/73651.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100813&tipo=0	
101157		Benedito Augusto Domingos	Benedito Domingos	MG	MG		ARENA,PDS,PFL,PTR,PPB	Bacharel em Direito e Empresário				http://veja.abril.com.br/infograficos/rede-escandalos/perfil/benedito-domingos.shtml?scrollto=conteudo-rede				http://www.camara.gov.br/internet/deputado/bandep/73656.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101157&tipo=0	
101701		Josias Gonzaga Cardoso	Josias Gonzaga		GO		PMDB,PTR,PP,PMDB	Economista								http://www.camara.gov.br/internet/deputado/bandep/73665.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101701&tipo=0	
178900		Carlos Eduardo Xavier Marun	Carlos Marun	MS	RS		PP,PHS,PEN,PEN	Advogado(a),engenheiro Civil		55				https://pt.wikipedia.org/wiki/Carlos_Eduardo_Xavier_Marun			http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178900	http://www.camara.leg.br/Internet/deputado/Dep_Detalhe.asp?id=178900
http://www.politicos.org.br/carlos-eduardo-xavier-marun
http://mapa.vemprarua.net/ms/deputado-carlos-marun.html
101821		Maria Bahia Peixoto Valadão	Maria Valadão		GO		PDS,PPR,PPB,PFL,PTB	Bacharela em Direito								http://www.camara.gov.br/internet/deputado/bandep/73669.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101821&tipo=0	
102046		Pedro Abrão Júnior	Pedrinho Abrão		GO		PMDB,PTR,PP,PTB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/73671.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102046&tipo=0	
98256		Pedro Chaves Canedo	Pedro Canedo		GO		PDS,PFL,PRN,PP,PL,PSDB,PP	Médico		52						http://www.camara.gov.br/internet/deputado/bandep/73672.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98256&tipo=0	
